name,link_id,from_node_id,to_node_id,facility_type,link_type,length,lanes,free_speed,capacity,dir_flag,cost,VDF_fftt1,VDF_cap1,VDF_alpha1,VDF_beta1,VDF_theta1
,57,57,4056,Highway,1,0.12,1,25,100000,1,0,0.0048,100000,0.15,4,1
,58,58,4065,Highway,1,0.13,1,25,100000,1,0,0.0052,100000,0.15,4,1
,59,59,2462,Highway,1,0.13,1,25,100000,1,0,0.0052,100000,0.15,4,1
,60,60,4100,Highway,1,0.3,1,25,100000,1,0,0.012,100000,0.15,4,1
,61,61,10352,Highway,1,0.13,1,25,100000,1,0,0.0052,100000,0.15,4,1
,62,62,7517,Highway,1,0.13,1,25,100000,1,0,0.0052,100000,0.15,4,1
,63,63,9339,Highway,1,0.13,1,25,100000,1,0,0.0052,100000,0.15,4,1
,64,64,10353,Highway,1,0.13,1,25,100000,1,0,0.0052,100000,0.15,4,1
,65,65,10354,Highway,1,0.15,1,25,100000,1,0,0.006,100000,0.15,4,1
,66,66,9912,Highway,1,0.15,1,25,100000,1,0,0.006,100000,0.15,4,1
,67,67,4726,Highway,1,0.12,1,25,100000,1,0,0.0048,100000,0.15,4,1
,68,68,9340,Highway,1,0.12,1,25,100000,1,0,0.0048,100000,0.15,4,1
,69,69,2547,Highway,1,0.12,1,25,100000,1,0,0.0048,100000,0.15,4,1
,70,70,2548,Highway,1,0.12,1,25,100000,1,0,0.0048,100000,0.15,4,1
,71,71,10357,Highway,1,0.13,1,25,100000,1,0,0.0052,100000,0.15,4,1
,72,72,9918,Highway,1,0.16,1,25,100000,1,0,0.0064,100000,0.15,4,1
,73,73,10355,Highway,1,0.13,1,25,100000,1,0,0.0052,100000,0.15,4,1
,74,74,2645,Highway,1,0.13,1,25,100000,1,0,0.0052,100000,0.15,4,1
,75,75,2683,Highway,1,0.13,1,25,100000,1,0,0.0052,100000,0.15,4,1
,76,76,2702,Highway,1,0.13,1,25,100000,1,0,0.0052,100000,0.15,4,1
,77,77,4363,Highway,1,0.14,1,25,100000,1,0,0.0056,100000,0.15,4,1
,78,78,2485,Highway,1,0.16,1,25,100000,1,0,0.0064,100000,0.15,4,1
,79,79,4738,Highway,1,0.12,1,25,100000,1,0,0.0048,100000,0.15,4,1
,80,80,2650,Highway,1,0.12,1,25,100000,1,0,0.0048,100000,0.15,4,1
,81,81,4414,Highway,1,0.12,1,25,100000,1,0,0.0048,100000,0.15,4,1
,82,82,10361,Highway,1,0.12,1,25,100000,1,0,0.0048,100000,0.15,4,1
,83,83,10362,Highway,1,0.13,1,25,100000,1,0,0.0052,100000,0.15,4,1
,84,84,4474,Highway,1,0.19,1,25,100000,1,0,0.0076,100000,0.15,4,1
,85,85,4324,Highway,1,0.13,1,25,100000,1,0,0.0052,100000,0.15,4,1
,86,86,2675,Highway,1,0.13,1,25,100000,1,0,0.0052,100000,0.15,4,1
,87,87,4505,Highway,1,0.13,1,25,100000,1,0,0.0052,100000,0.15,4,1
,88,88,2780,Highway,1,0.13,1,25,100000,1,0,0.0052,100000,0.15,4,1
,89,89,4530,Highway,1,0.14,1,25,100000,1,0,0.0056,100000,0.15,4,1
,90,90,4336,Highway,1,0.12,1,25,100000,1,0,0.0048,100000,0.15,4,1
,91,91,4344,Highway,1,0.13,1,25,100000,1,0,0.0052,100000,0.15,4,1
,92,92,4513,Highway,1,0.13,1,25,100000,1,0,0.0052,100000,0.15,4,1
,93,93,9345,Highway,1,0.12,1,25,100000,1,0,0.0048,100000,0.15,4,1
,94,94,10365,Highway,1,0.13,1,25,100000,1,0,0.0052,100000,0.15,4,1
,95,95,4544,Highway,1,0.2,1,25,100000,1,0,0.008,100000,0.15,4,1
,96,96,4338,Highway,1,0.13,1,25,100000,1,0,0.0052,100000,0.15,4,1
,97,97,4642,Highway,1,0.13,1,25,100000,1,0,0.0052,100000,0.15,4,1
,98,98,10364,Highway,1,0.13,1,25,100000,1,0,0.0052,100000,0.15,4,1
,99,99,2500,Highway,1,0.13,1,25,100000,1,0,0.0052,100000,0.15,4,1
,100,100,2514,Highway,1,0.14,1,25,100000,1,0,0.0056,100000,0.15,4,1
,101,101,2426,Highway,1,0.25,1,25,100000,1,0,0.01,100000,0.15,4,1
,102,102,6438,Highway,1,0.25,1,25,100000,1,0,0.01,100000,0.15,4,1
,103,103,2556,Highway,1,0.25,1,25,100000,1,0,0.01,100000,0.15,4,1
,104,104,10348,Highway,1,0.25,1,25,100000,1,0,0.01,100000,0.15,4,1
,105,105,6629,Highway,1,0.17,1,25,100000,1,0,0.0068,100000,0.15,4,1
,106,106,6759,Highway,1,0.25,1,25,100000,1,0,0.01,100000,0.15,4,1
,107,107,10347,Highway,1,0.25,1,25,100000,1,0,0.01,100000,0.15,4,1
,108,108,2555,Highway,1,0.25,1,25,100000,1,0,0.01,100000,0.15,4,1
,109,109,8842,Highway,1,0.25,1,25,100000,1,0,0.01,100000,0.15,4,1
,110,110,10349,Highway,1,0.28,1,25,100000,1,0,0.0112,100000,0.15,4,1
,111,111,10351,Highway,1,0.25,1,25,100000,1,0,0.01,100000,0.15,4,1
,112,112,6763,Highway,1,0.25,1,25,100000,1,0,0.01,100000,0.15,4,1
,113,113,6918,Highway,1,0.25,1,25,100000,1,0,0.01,100000,0.15,4,1
,114,114,12840,Highway,1,0.25,1,25,100000,1,0,0.01,100000,0.15,4,1
,115,115,4328,Highway,1,0.25,1,25,100000,1,0,0.01,100000,0.15,4,1
,116,116,6933,Highway,1,0.25,1,25,100000,1,0,0.01,100000,0.15,4,1
,117,117,4329,Highway,1,0.25,1,25,100000,1,0,0.01,100000,0.15,4,1
,118,118,7025,Highway,1,0.25,1,25,100000,1,0,0.01,100000,0.15,4,1
,119,119,7029,Highway,1,0.25,1,25,100000,1,0,0.01,100000,0.15,4,1
,120,120,7032,Highway,1,0.25,1,25,100000,1,0,0.01,100000,0.15,4,1
,121,121,10368,Highway,1,0.25,1,25,100000,1,0,0.01,100000,0.15,4,1
,122,122,9232,Highway,1,0.25,1,25,100000,1,0,0.01,100000,0.15,4,1
,123,123,9237,Highway,1,0.25,1,25,100000,1,0,0.01,100000,0.15,4,1
,124,124,4362,Highway,1,0.34,1,25,100000,1,0,0.0136,100000,0.15,4,1
,125,125,7470,Highway,1,0.25,1,25,100000,1,0,0.01,100000,0.15,4,1
,126,126,2029,Highway,1,0.25,1,25,100000,1,0,0.01,100000,0.15,4,1
,127,127,8053,Highway,1,0.25,1,25,100000,1,0,0.01,100000,0.15,4,1
,128,128,7518,Highway,1,0.25,1,25,100000,1,0,0.01,100000,0.15,4,1
,129,129,2552,Highway,1,0.28,1,25,100000,1,0,0.0112,100000,0.15,4,1
,130,130,10346,Highway,1,0.5,1,25,100000,1,0,0.02,100000,0.15,4,1
,131,131,10350,Highway,1,0.5,1,25,100000,1,0,0.02,100000,0.15,4,1
,132,132,10358,Highway,1,0.51,1,25,100000,1,0,0.0204,100000,0.15,4,1
,133,133,10366,Highway,1,0.5,1,25,100000,1,0,0.02,100000,0.15,4,1
,134,134,10370,Highway,1,0.5,1,25,100000,1,0,0.02,100000,0.15,4,1
,135,135,10371,Highway,1,0.5,1,25,100000,1,0,0.02,100000,0.15,4,1
,136,136,10372,Highway,1,0.5,1,25,100000,1,0,0.02,100000,0.15,4,1
,137,137,10373,Highway,1,0.47,1,25,100000,1,0,0.0188,100000,0.15,4,1
,138,138,10374,Highway,1,0.5,1,25,100000,1,0,0.02,100000,0.15,4,1
,139,139,10375,Highway,1,0.51,1,25,100000,1,0,0.0204,100000,0.15,4,1
,140,140,10376,Highway,1,0.51,1,25,100000,1,0,0.0204,100000,0.15,4,1
,141,141,10377,Highway,1,0.55,1,25,100000,1,0,0.022,100000,0.15,4,1
,142,142,10378,Highway,1,0.5,1,25,100000,1,0,0.02,100000,0.15,4,1
,143,143,10379,Highway,1,0.5,1,25,100000,1,0,0.02,100000,0.15,4,1
,144,144,10380,Highway,1,0.5,1,25,100000,1,0,0.02,100000,0.15,4,1
,145,145,10381,Highway,1,0.5,1,25,100000,1,0,0.02,100000,0.15,4,1
,146,146,10382,Highway,1,0.4,1,25,100000,1,0,0.016,100000,0.15,4,1
,147,147,10383,Highway,1,0.5,1,25,100000,1,0,0.02,100000,0.15,4,1
,148,148,10384,Highway,1,0.51,1,25,100000,1,0,0.0204,100000,0.15,4,1
,149,149,10385,Highway,1,0.51,1,25,100000,1,0,0.0204,100000,0.15,4,1
,150,150,10386,Highway,1,0.5,1,25,100000,1,0,0.02,100000,0.15,4,1
,151,151,10387,Highway,1,0.56,1,25,100000,1,0,0.0224,100000,0.15,4,1
,152,152,10388,Highway,1,0.5,1,25,100000,1,0,0.02,100000,0.15,4,1
,153,153,10389,Highway,1,0.5,1,25,100000,1,0,0.02,100000,0.15,4,1
,154,154,10390,Highway,1,0.5,1,25,100000,1,0,0.02,100000,0.15,4,1
,155,155,10391,Highway,1,0.5,1,25,100000,1,0,0.02,100000,0.15,4,1
,156,156,10392,Highway,1,0.51,1,25,100000,1,0,0.0204,100000,0.15,4,1
,157,157,10393,Highway,1,0.37,1,25,100000,1,0,0.0148,100000,0.15,4,1
,158,158,10394,Highway,1,0.5,1,25,100000,1,0,0.02,100000,0.15,4,1
,159,159,10395,Highway,1,0.5,1,25,100000,1,0,0.02,100000,0.15,4,1
,160,160,10396,Highway,1,0.5,1,25,100000,1,0,0.02,100000,0.15,4,1
,161,161,10397,Highway,1,0.5,1,25,100000,1,0,0.02,100000,0.15,4,1
,162,162,10398,Highway,1,0.5,1,25,100000,1,0,0.02,100000,0.15,4,1
,163,163,10399,Highway,1,0.47,1,25,100000,1,0,0.0188,100000,0.15,4,1
,164,164,10400,Highway,1,0.5,1,25,100000,1,0,0.02,100000,0.15,4,1
,165,165,10401,Highway,1,0.5,1,25,100000,1,0,0.02,100000,0.15,4,1
,166,166,10402,Highway,1,0.5,1,25,100000,1,0,0.02,100000,0.15,4,1
,167,167,10403,Highway,1,0.5,1,25,100000,1,0,0.02,100000,0.15,4,1
,168,168,10404,Highway,1,0.51,1,25,100000,1,0,0.0204,100000,0.15,4,1
,169,169,10405,Highway,1,0.5,1,25,100000,1,0,0.02,100000,0.15,4,1
,170,170,10406,Highway,1,0.5,1,25,100000,1,0,0.02,100000,0.15,4,1
,171,171,10407,Highway,1,0.5,1,25,100000,1,0,0.02,100000,0.15,4,1
,172,172,10408,Highway,1,0.49,1,25,100000,1,0,0.0196,100000,0.15,4,1
,173,173,10409,Highway,1,0.51,1,25,100000,1,0,0.0204,100000,0.15,4,1
,174,174,10410,Highway,1,0.5,1,25,100000,1,0,0.02,100000,0.15,4,1
,175,175,10411,Highway,1,0.5,1,25,100000,1,0,0.02,100000,0.15,4,1
,176,176,10412,Highway,1,0.51,1,25,100000,1,0,0.0204,100000,0.15,4,1
,177,177,10413,Highway,1,0.5,1,25,100000,1,0,0.02,100000,0.15,4,1
,178,178,10414,Highway,1,0.5,1,25,100000,1,0,0.02,100000,0.15,4,1
,179,179,10415,Highway,1,0.51,1,25,100000,1,0,0.0204,100000,0.15,4,1
,180,180,10416,Highway,1,0.5,1,25,100000,1,0,0.02,100000,0.15,4,1
,181,181,10417,Highway,1,0.5,1,25,100000,1,0,0.02,100000,0.15,4,1
,182,182,10418,Highway,1,0.5,1,25,100000,1,0,0.02,100000,0.15,4,1
,183,183,10419,Highway,1,0.5,1,25,100000,1,0,0.02,100000,0.15,4,1
,184,184,10420,Highway,1,0.5,1,25,100000,1,0,0.02,100000,0.15,4,1
,185,185,10421,Highway,1,0.5,1,25,100000,1,0,0.02,100000,0.15,4,1
,186,186,10422,Highway,1,0.5,1,25,100000,1,0,0.02,100000,0.15,4,1
,187,187,10423,Highway,1,0.58,1,25,100000,1,0,0.0232,100000,0.15,4,1
,188,188,10424,Highway,1,0.5,1,25,100000,1,0,0.02,100000,0.15,4,1
,189,189,10425,Highway,1,0.5,1,25,100000,1,0,0.02,100000,0.15,4,1
,190,190,10426,Highway,1,0.5,1,25,100000,1,0,0.02,100000,0.15,4,1
,191,191,10427,Highway,1,0.5,1,25,100000,1,0,0.02,100000,0.15,4,1
,192,192,10428,Highway,1,0.57,1,25,100000,1,0,0.0228,100000,0.15,4,1
,193,193,10429,Highway,1,0.58,1,25,100000,1,0,0.0232,100000,0.15,4,1
,194,194,10430,Highway,1,0.5,1,25,100000,1,0,0.02,100000,0.15,4,1
,195,195,10431,Highway,1,0.5,1,25,100000,1,0,0.02,100000,0.15,4,1
,196,196,10432,Highway,1,0.5,1,25,100000,1,0,0.02,100000,0.15,4,1
,197,197,10433,Highway,1,0.57,1,25,100000,1,0,0.0228,100000,0.15,4,1
,198,198,10434,Highway,1,0.56,1,25,100000,1,0,0.0224,100000,0.15,4,1
,199,199,10435,Highway,1,0.5,1,25,100000,1,0,0.02,100000,0.15,4,1
,200,200,10436,Highway,1,0.5,1,25,100000,1,0,0.02,100000,0.15,4,1
,201,201,10437,Highway,1,0.51,1,25,100000,1,0,0.0204,100000,0.15,4,1
,202,202,10438,Highway,1,0.56,1,25,100000,1,0,0.0224,100000,0.15,4,1
,203,203,10439,Highway,1,0.56,1,25,100000,1,0,0.0224,100000,0.15,4,1
,204,204,10440,Highway,1,0.5,1,25,100000,1,0,0.02,100000,0.15,4,1
,205,205,10441,Highway,1,0.5,1,25,100000,1,0,0.02,100000,0.15,4,1
,206,206,10442,Highway,1,0.5,1,25,100000,1,0,0.02,100000,0.15,4,1
,207,207,10443,Highway,1,0.56,1,25,100000,1,0,0.0224,100000,0.15,4,1
,208,208,10444,Highway,1,0.56,1,25,100000,1,0,0.0224,100000,0.15,4,1
,209,209,10445,Highway,1,0.5,1,25,100000,1,0,0.02,100000,0.15,4,1
,210,210,10446,Highway,1,0.5,1,25,100000,1,0,0.02,100000,0.15,4,1
,211,211,10447,Highway,1,0.5,1,25,100000,1,0,0.02,100000,0.15,4,1
,212,212,10448,Highway,1,0.56,1,25,100000,1,0,0.0224,100000,0.15,4,1
,213,213,10449,Highway,1,0.56,1,25,100000,1,0,0.0224,100000,0.15,4,1
,214,214,10450,Highway,1,0.5,1,25,100000,1,0,0.02,100000,0.15,4,1
,215,215,10451,Highway,1,0.51,1,25,100000,1,0,0.0204,100000,0.15,4,1
,216,216,10452,Highway,1,0.51,1,25,100000,1,0,0.0204,100000,0.15,4,1
,217,217,10453,Highway,1,0.5,1,25,100000,1,0,0.02,100000,0.15,4,1
,218,218,10454,Highway,1,0.56,1,25,100000,1,0,0.0224,100000,0.15,4,1
,219,219,10455,Highway,1,0.5,1,25,100000,1,0,0.02,100000,0.15,4,1
,220,220,10456,Highway,1,0.5,1,25,100000,1,0,0.02,100000,0.15,4,1
,221,221,10457,Highway,1,0.5,1,25,100000,1,0,0.02,100000,0.15,4,1
,222,222,10458,Highway,1,0.5,1,25,100000,1,0,0.02,100000,0.15,4,1
,223,223,10459,Highway,1,0.5,1,25,100000,1,0,0.02,100000,0.15,4,1
,224,224,10460,Highway,1,0.5,1,25,100000,1,0,0.02,100000,0.15,4,1
,225,225,10461,Highway,1,0.5,1,25,100000,1,0,0.02,100000,0.15,4,1
,226,226,10462,Highway,1,0.5,1,25,100000,1,0,0.02,100000,0.15,4,1
,227,227,10463,Highway,1,0.5,1,25,100000,1,0,0.02,100000,0.15,4,1
,228,228,10464,Highway,1,0.5,1,25,100000,1,0,0.02,100000,0.15,4,1
,229,229,10465,Highway,1,0.5,1,25,100000,1,0,0.02,100000,0.15,4,1
,230,230,10466,Highway,1,0.5,1,25,100000,1,0,0.02,100000,0.15,4,1
,231,231,10467,Highway,1,0.5,1,25,100000,1,0,0.02,100000,0.15,4,1
,232,232,10468,Highway,1,0.5,1,25,100000,1,0,0.02,100000,0.15,4,1
,233,233,10469,Highway,1,0.5,1,25,100000,1,0,0.02,100000,0.15,4,1
,234,234,10470,Highway,1,0.5,1,25,100000,1,0,0.02,100000,0.15,4,1
,235,235,10471,Highway,1,0.5,1,25,100000,1,0,0.02,100000,0.15,4,1
,236,236,10472,Highway,1,0.5,1,25,100000,1,0,0.02,100000,0.15,4,1
,237,237,10473,Highway,1,0.5,1,25,100000,1,0,0.02,100000,0.15,4,1
,238,238,10474,Highway,1,0.51,1,25,100000,1,0,0.0204,100000,0.15,4,1
,239,239,10475,Highway,1,0.5,1,25,100000,1,0,0.02,100000,0.15,4,1
,240,240,10476,Highway,1,0.5,1,25,100000,1,0,0.02,100000,0.15,4,1
,241,241,10477,Highway,1,0.5,1,25,100000,1,0,0.02,100000,0.15,4,1
,242,242,10478,Highway,1,0.5,1,25,100000,1,0,0.02,100000,0.15,4,1
,243,243,10479,Highway,1,0.5,1,25,100000,1,0,0.02,100000,0.15,4,1
,244,244,10480,Highway,1,0.51,1,25,100000,1,0,0.0204,100000,0.15,4,1
,245,245,10481,Highway,1,0.5,1,25,100000,1,0,0.02,100000,0.15,4,1
,246,246,10482,Highway,1,0.5,1,25,100000,1,0,0.02,100000,0.15,4,1
,247,247,10483,Highway,1,0.5,1,25,100000,1,0,0.02,100000,0.15,4,1
,248,248,10484,Highway,1,0.51,1,25,100000,1,0,0.0204,100000,0.15,4,1
,249,249,10485,Highway,1,0.51,1,25,100000,1,0,0.0204,100000,0.15,4,1
,250,250,10486,Highway,1,1.01,1,25,100000,1,0,0.0404,100000,0.15,4,1
,251,251,10487,Highway,1,1.01,1,25,100000,1,0,0.0404,100000,0.15,4,1
,252,252,10488,Highway,1,0.51,1,25,100000,1,0,0.0204,100000,0.15,4,1
,253,253,10489,Highway,1,0.5,1,25,100000,1,0,0.02,100000,0.15,4,1
,254,254,10490,Highway,1,0.5,1,25,100000,1,0,0.02,100000,0.15,4,1
,255,255,10491,Highway,1,0.5,1,25,100000,1,0,0.02,100000,0.15,4,1
,256,256,10807,Highway,1,0.51,1,25,100000,1,0,0.0204,100000,0.15,4,1
,257,257,10813,Highway,1,0.5,1,25,100000,1,0,0.02,100000,0.15,4,1
,258,258,10493,Highway,1,1,1,25,100000,1,0,0.04,100000,0.15,4,1
,259,259,10494,Highway,1,0.5,1,25,100000,1,0,0.02,100000,0.15,4,1
,260,260,10495,Highway,1,0.5,1,25,100000,1,0,0.02,100000,0.15,4,1
,261,261,10492,Highway,1,0.51,1,25,100000,1,0,0.0204,100000,0.15,4,1
,262,262,10812,Highway,1,0.5,1,25,100000,1,0,0.02,100000,0.15,4,1
,263,263,10496,Highway,1,1.01,1,25,100000,1,0,0.0404,100000,0.15,4,1
,264,264,10497,Highway,1,1,1,25,100000,1,0,0.04,100000,0.15,4,1
,265,265,10498,Highway,1,1.01,1,25,100000,1,0,0.0404,100000,0.15,4,1
,266,266,10499,Highway,1,0.47,1,25,100000,1,0,0.0188,100000,0.15,4,1
,267,267,10500,Highway,1,0.5,1,25,100000,1,0,0.02,100000,0.15,4,1
,268,268,11189,Highway,1,0.36,1,25,100000,1,0,0.0144,100000,0.15,4,1
,269,269,10501,Highway,1,0.5,1,25,100000,1,0,0.02,100000,0.15,4,1
,270,270,10502,Highway,1,0.55,1,25,100000,1,0,0.022,100000,0.15,4,1
,271,271,10503,Highway,1,0.5,1,25,100000,1,0,0.02,100000,0.15,4,1
,272,272,10504,Highway,1,0.5,1,25,100000,1,0,0.02,100000,0.15,4,1
,273,273,10505,Highway,1,0.47,1,25,100000,1,0,0.0188,100000,0.15,4,1
,274,274,10506,Highway,1,0.5,1,25,100000,1,0,0.02,100000,0.15,4,1
,275,275,10507,Highway,1,0.5,1,25,100000,1,0,0.02,100000,0.15,4,1
,276,276,10508,Highway,1,0.5,1,25,100000,1,0,0.02,100000,0.15,4,1
,277,277,10509,Highway,1,0.49,1,25,100000,1,0,0.0196,100000,0.15,4,1
,278,278,10510,Highway,1,0.5,1,25,100000,1,0,0.02,100000,0.15,4,1
,279,279,10511,Highway,1,0.5,1,25,100000,1,0,0.02,100000,0.15,4,1
,280,280,10512,Highway,1,0.5,1,25,100000,1,0,0.02,100000,0.15,4,1
,281,281,10513,Highway,1,0.49,1,25,100000,1,0,0.0196,100000,0.15,4,1
,282,282,10514,Highway,1,0.46,1,25,100000,1,0,0.0184,100000,0.15,4,1
,283,283,10515,Highway,1,0.43,1,25,100000,1,0,0.0172,100000,0.15,4,1
,284,284,10516,Highway,1,0.41,1,25,100000,1,0,0.0164,100000,0.15,4,1
,285,285,10517,Highway,1,0.41,1,25,100000,1,0,0.0164,100000,0.15,4,1
,286,286,10518,Highway,1,0.4,1,25,100000,1,0,0.016,100000,0.15,4,1
,287,287,10519,Highway,1,0.4,1,25,100000,1,0,0.016,100000,0.15,4,1
,288,288,10520,Highway,1,0.38,1,25,100000,1,0,0.0152,100000,0.15,4,1
,289,289,10521,Highway,1,0.51,1,25,100000,1,0,0.0204,100000,0.15,4,1
,290,290,10522,Highway,1,0.5,1,25,100000,1,0,0.02,100000,0.15,4,1
,291,291,10523,Highway,1,0.5,1,25,100000,1,0,0.02,100000,0.15,4,1
,292,292,10524,Highway,1,0.5,1,25,100000,1,0,0.02,100000,0.15,4,1
,293,293,10525,Highway,1,0.5,1,25,100000,1,0,0.02,100000,0.15,4,1
,294,294,10526,Highway,1,0.49,1,25,100000,1,0,0.0196,100000,0.15,4,1
,295,295,10527,Highway,1,0.51,1,25,100000,1,0,0.0204,100000,0.15,4,1
,296,296,10528,Highway,1,0.5,1,25,100000,1,0,0.02,100000,0.15,4,1
,297,297,10529,Highway,1,0.5,1,25,100000,1,0,0.02,100000,0.15,4,1
,298,298,10530,Highway,1,0.5,1,25,100000,1,0,0.02,100000,0.15,4,1
,299,299,10531,Highway,1,0.5,1,25,100000,1,0,0.02,100000,0.15,4,1
,300,300,10532,Highway,1,0.49,1,25,100000,1,0,0.0196,100000,0.15,4,1
,301,301,10533,Highway,1,0.51,1,25,100000,1,0,0.0204,100000,0.15,4,1
,302,302,10534,Highway,1,0.5,1,25,100000,1,0,0.02,100000,0.15,4,1
,303,303,10535,Highway,1,0.5,1,25,100000,1,0,0.02,100000,0.15,4,1
,304,304,10536,Highway,1,0.5,1,25,100000,1,0,0.02,100000,0.15,4,1
,305,305,10537,Highway,1,0.5,1,25,100000,1,0,0.02,100000,0.15,4,1
,306,306,10538,Highway,1,0.49,1,25,100000,1,0,0.0196,100000,0.15,4,1
,307,307,10539,Highway,1,0.51,1,25,100000,1,0,0.0204,100000,0.15,4,1
,308,308,10540,Highway,1,0.5,1,25,100000,1,0,0.02,100000,0.15,4,1
,309,309,10541,Highway,1,0.5,1,25,100000,1,0,0.02,100000,0.15,4,1
,310,310,10542,Highway,1,0.5,1,25,100000,1,0,0.02,100000,0.15,4,1
,311,311,10543,Highway,1,0.5,1,25,100000,1,0,0.02,100000,0.15,4,1
